min_prob,max_margin,train_macro_f1,train_accuracy,n_conflict
0.5,1.0,0.3325,0.47,23
0.5,0.5,0.3325,0.47,23
0.6,0.5,0.332,0.4717,17
0.6,1.0,0.332,0.4717,17
0.0,1.0,0.3307,0.4683,24
0.0,0.5,0.3307,0.4683,24
0.5,0.05,0.3268,0.475,10
0.8,0.05,0.3268,0.475,10
0.7,0.05,0.3268,0.475,10
0.6,0.05,0.3268,0.475,10
0.9,0.05,0.3268,0.475,10
0.0,0.05,0.3268,0.475,10
0.9,0.1,0.3252,0.4733,11
0.9,0.2,0.3252,0.4733,11
0.9,0.3,0.3252,0.4733,11
0.9,0.5,0.3252,0.4733,11
0.9,1.0,0.3252,0.4733,11
0.0,0.2,0.3246,0.4717,15
0.5,0.2,0.3246,0.4717,15
0.8,0.3,0.3242,0.4717,14
0.6,0.2,0.3242,0.4717,14
0.7,0.2,0.3242,0.4717,14
0.8,0.2,0.3242,0.4717,14
0.8,1.0,0.3242,0.4717,14
0.8,0.5,0.3242,0.4717,14
0.8,0.1,0.3239,0.4717,13
0.5,0.1,0.3239,0.4717,13
0.7,0.1,0.3239,0.4717,13
0.0,0.1,0.3239,0.4717,13
0.6,0.1,0.3239,0.4717,13
0.5,0.3,0.3238,0.47,18
0.6,0.3,0.323,0.47,16
0.7,0.3,0.3225,0.47,15
0.7,0.5,0.3225,0.47,15
0.7,1.0,0.3225,0.47,15
0.0,0.3,0.3221,0.4683,19
